vel, aj, b_max, ejection, s_coll, p_coll, stay, cap, trans
20.0,0.5,55.44507466332393,0.004474,0.0,0.0,0.993017,0.000692,0.000544
20.0,1.0,57.93661620884983,0.010032,0.0,0.0,0.983377,0.001211,0.001607
20.0,1.5,60.43088299433399,0.016538,0.0,0.0,0.933677,0.001378,0.003639
20.0,2.0,62.90160856891959,0.025742,0.0,0.0,0.846075,0.001425,0.007938
20.0,2.5,65.35293062194862,0.042074,0.0,0.0,0.77413,0.000961,0.024377
23.4,0.1,52.66273341863975,0.0006906368823116384,0.0,0.0,0.9990638033373109,0.0001227798901887357,2.3021229410387946e-05
23.4,0.5,54.654072808906605,0.003447,0.0,0.0,0.995122,0.000506,0.000456
23.4,1.0,57.15600835022026,0.008077,0.0,0.0,0.986214,0.000873,0.001375
23.4,1.5,59.61737273163174,0.013881,0.0,0.0,0.939788,0.000673,0.003184
23.4,2.0,62.107048946949604,0.020933,0.0,0.0,0.863519,0.000415,0.00725
23.4,2.5,64.59800172939775,0.034097,0.0,0.0,0.777257,0.000332,0.02171
26.7,0.1,52.169457239153985,0.0005388783919868783,0.0,0.0,0.9992354662813686,8.083175879803174e-05,5.388783919868783e-05
26.7,0.5,54.148642943909294,0.002893,0.0,0.0,0.99588,0.000372,0.000387
26.7,1.0,56.627138536990934,0.006751,0.0,0.0,0.988846,0.00044,0.00119
26.7,1.5,59.106097678523945,0.011561,0.0,0.0,0.939109,0.000232,0.002639
26.7,2.0,61.61077078631699,0.017074,0.0,0.0,0.883298,0.000156,0.005895
26.7,2.5,64.1015697620316,0.026891,0.0,0.0,0.784718,0.000147,0.017804
30.0,0.1,51.811234472620015,0.00042192451441276185,0.0,0.0,0.9993626246697169,7.181693862344883e-05,5.984744885287402e-05
30.0,0.5,53.79426629297515,0.002398,0.0,0.0,0.996567,0.000282,0.000361
30.0,1.0,56.29465564800512,0.005769,0.0,0.0,0.989732,0.000262,0.001106
30.0,1.5,58.77368573288515,0.009706,0.0,0.0,0.945487,9.8e-05,0.002231
30.0,2.0,61.24211841960996,0.014415,0.0,0.0,0.879476,7.5e-05,0.004914
30.0,2.5,63.68583781486978,0.020994,0.0,0.0,0.803237,5.3e-05,0.012326
