vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap,trans
13.4,1.5,58.882695180230634,0.080044,0.001524,0.032991,0.791845,1.5e-05,0.006796,0.010223
13.4,2.0,60.82879013759553,0.110791,0.00144,0.049564,0.703851,2.3e-05,0.008874,0.020754
13.4,2.5,62.72038648446924,0.149455,0.001439,0.03936,0.621693,1.3e-05,0.009766,0.048842
16.7,0.1,48.25381295635916,0.003571815131507739,0.0008658945773352095,0.0010282498105855613,0.9926218566222895,1.8039470361150197e-05,0.00028863152577840315,0.00025255258505610276
16.7,0.5,49.781090635581535,0.017963848801944453,0.0008443350395937259,0.002352963088279574,0.9730635393159024,2.172921057777971e-05,0.0019121705308446145,0.001446544589892192
16.7,1.0,51.665151157492105,0.034625,0.000804,0.002929,0.945255,8.8e-05,0.003356,0.003847
16.7,1.5,53.56974309537832,0.053229,0.000801,0.009601,0.853643,0.000125,0.004814,0.008261
16.7,2.0,55.44692220020398,0.077732,0.000784,0.036889,0.75733,0.000166,0.00593,0.017553
16.7,2.5,57.31613168113772,0.109872,0.000725,0.034196,0.6669,0.00018,0.006799,0.044476
20.0,0.1,45.12653481710354,0.0021590004287376737,0.00042873767379187846,0.0007656029889140687,0.9952685735285111,0.0,0.00022968089667422062,3.0624119556562746e-05
20.0,0.5,46.67096682382096,0.012139027497611211,0.0005268606009130481,0.001489011572353753,0.9816925894468628,0.0001260749548784372,0.001312506635523941,0.001085571716742754
20.0,1.0,48.5241170033212,0.025282,0.000454,0.001987,0.958942,0.00024,0.002469,0.003303
20.0,1.5,50.40995906168965,0.03889,0.000466,0.003817,0.894001,0.000389,0.003415,0.007225
20.0,2.0,52.27884017076531,0.058677,0.000438,0.031587,0.781148,0.000527,0.004053,0.01499
20.0,2.5,54.14045939110732,0.088118,0.000457,0.028637,0.696926,0.000611,0.004561,0.04091
23.4,0.1,43.18444363231768,0.0015984781431232413,0.00026421126332615557,0.00043594858448815673,0.9965124113240947,3.9631689498923336e-05,7.926337899784667e-05,7.926337899784667e-05
23.4,0.5,44.699912218582455,0.00868948313411057,0.00034896135051497713,0.0010480357391703934,0.9867014629887906,0.0002165172735868505,0.0008672207819728639,0.0009374737271260441
23.4,1.0,46.557452247549264,0.01872,0.000345,0.001477,0.968234,0.000492,0.001591,0.002857
23.4,1.5,48.399412796617945,0.029601,0.000288,0.002228,0.910666,0.000633,0.00211,0.006335
23.4,2.0,50.26783737219449,0.046416,0.00031,0.024936,0.798322,0.000861,0.002315,0.013551
23.4,2.5,52.10424515973571,0.072987,0.000313,0.023718,0.721083,0.000997,0.002763,0.03642
26.7,0.1,41.88131220879617,0.0010920454941505862,0.00034852515770763387,0.0003369076524507127,0.9973279737909081,1.161750525692113e-05,6.970503154152677e-05,2.323501051384226e-05
26.7,0.5,43.37366161573697,0.006711450208377252,0.00024425543645710025,0.0006932394960027244,0.989787893038416,0.00029493083821168533,0.0005219566380722266,0.0007641850584591435
26.7,1.0,45.20715318424632,0.014968,0.000236,0.000962,0.974211,0.000575,0.00101,0.002481
26.7,1.5,47.07342708090078,0.024321,0.000261,0.001554,0.924647,0.000703,0.001268,0.005513
26.7,2.0,48.92067277263342,0.038347,0.000251,0.016146,0.80528,0.000934,0.001484,0.011936
26.7,2.5,50.75912620393112,0.061641,0.000244,0.01997,0.741517,0.001019,0.001489,0.033427
30.0,0.1,40.936625491795496,0.0009568581769771602,0.00023921454424429006,0.00031201897075342183,0.9976598577193493,0.0,0.00010400632358447393,7.280442650913175e-05
30.0,0.5,42.42070354683856,0.005448,0.0002,0.000552,0.991524,0.000304,0.000397,0.000718
30.0,1.0,44.27053850873437,0.012254,0.000193,0.000739,0.978318,0.000536,0.000668,0.002254
30.0,1.5,46.10533053957996,0.020335,0.000219,0.001125,0.928722,0.000661,0.000836,0.004915
30.0,2.0,47.92641581167886,0.031508,0.000196,0.00807,0.828916,0.000818,0.000916,0.011025
30.0,2.5,49.80279099213315,0.052575,0.000196,0.017436,0.754158,0.000896,0.000883,0.031047
