vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap
16.7,0.5,31.137192641139535,0.0019,1.7e-05,2.2e-05,0.969912,0.000519,0.00021
16.7,1.0,31.137185310415262,0.004722,2.1e-05,2.9e-05,0.985458,0.000981,0.00036
16.7,1.5,31.137192641139535,0.007929,1.9e-05,2.2e-05,0.986503,0.001106,0.000428
16.7,2.0,31.137192641139535,0.011882,1.8e-05,2e-05,0.983829,0.001072,0.000454
16.7,2.5,31.137192641139535,0.016427,2.4e-05,1.6e-05,0.980448,0.001101,0.000379
16.7,3.0,31.137185310415262,0.021192,1.6e-05,1.8e-05,0.976186,0.000956,0.000346
16.7,3.5,31.137192641139535,0.025668,1.5e-05,1.8e-05,0.972089,0.000868,0.000276
16.7,4.0,31.137192641139535,0.030037,1.6e-05,1.1e-05,0.968134,0.000744,0.000271
16.7,4.5,31.137192641139535,0.035226,1.1e-05,9e-06,0.963039,0.000694,0.000262
16.7,5.0,31.13713132971154,0.039861,1.6e-05,2.6e-05,0.958646,0.000609,0.000245
20.0,0.1,30.586149864852093,0.00019862082663505285,0.0,0.00010551731414987183,0.7537660370800255,7.448280998814482e-05,2.4827603329381607e-05
20.0,0.5,30.58623672660089,0.001474,1.7e-05,1.4e-05,0.970238,0.000385,0.000104
20.0,1.0,30.586193295726492,0.003716,1.3e-05,1.3e-05,0.987981,0.000556,0.000166
20.0,1.5,30.586193295726492,0.00656,1.8e-05,1.2e-05,0.989176,0.000543,0.000142
20.0,2.0,30.586193295726492,0.009785,1.1e-05,8e-06,0.987212,0.000534,0.000134
20.0,2.5,30.586193295726492,0.013266,1.7e-05,9e-06,0.984703,0.000454,0.00011
20.0,3.0,30.586193295726492,0.017096,1.6e-05,1.5e-05,0.981331,0.000373,0.0001
20.0,3.5,30.58623672660089,0.020348,1e-05,1.4e-05,0.978326,0.000287,0.000108
20.0,4.0,30.58623672660089,0.024427,1.7e-05,1e-05,0.974482,0.00028,0.000107
20.0,4.5,30.586193295726492,0.02839375699376138,1.0970606089417754e-05,1.2799040437654045e-05,0.9707669916403981,0.00020844151569893732,8.410798001886944e-05
20.0,5.0,30.586149864852093,0.032332,1.3e-05,1.6e-05,0.966887,0.000167,9.1e-05
23.4,0.1,30.2481009495595,0.0001871707799673788,0.0,0.00017647530682638574,0.7522661033717479,5.347736570496537e-05,5.3477365704965374e-06
23.4,0.5,30.24816557148352,0.0012090743674528777,1.7053235083961602e-06,6.821294033584641e-06,0.9718536354939213,0.0003274221136120628,7.33289108610349e-05
