vel, aj, b_max, ejection, s_coll, p_coll, stay, cap
30.0,0.1,1.2603371076184176,0.138582,0.018757,0.018526,0.461885,0.03769
30.0,0.5,3.264161194316705,0.11929,0.00275,0.002866,0.777997,0.052185
30.0,1.0,5.300118680367045,0.101688,0.000976,0.001093,0.837533,0.039732
30.0,1.5,7.23252588556478,0.091874,0.000563,0.000602,0.869398,0.029334
30.0,2.0,9.127386996119887,0.086077,0.000343,0.000384,0.88771,0.021255
30.0,2.5,11.004136445168859,0.081311,0.000243,0.000224,0.900824,0.014667
30.0,3.0,12.870685825902621,0.077398,0.000176,0.000186,0.910642,0.009693
30.0,3.5,14.730921274019439,0.073605,0.000124,0.000141,0.918091,0.006597
30.0,4.0,16.586930048367588,0.069351,0.000102,0.000103,0.924088,0.005262
30.0,4.5,18.440073019317794,0.06505,8e-05,0.000109,0.929658,0.004136
30.0,5.0,20.291099510187927,0.061452,5.9e-05,8e-05,0.934106,0.003341
