vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap,trans
20.0,1.5,50.40995906168965,0.040616,0.000407,0.003073,0.853413,0.000386,0.003316,0.007091
20.0,2.0,52.27884017076531,0.067326,0.000385,0.02618,0.738271,0.000515,0.003996,0.014619
20.0,2.5,54.14045939110732,0.095388,0.000384,0.022961,0.656703,0.000603,0.00446,0.039863
23.4,0.1,43.18444363231768,0.0017287350933223944,0.00020510416361452138,0.001215974684286091,0.6306806528172522,2.9300594802074484e-05,8.790178440622344e-05,4.395089220311172e-05
23.4,0.5,44.699912218582455,0.009078568547899754,0.0003155107903418076,0.0008218547200032569,0.9376153745354804,0.0001908331393196417,0.0008243991618608522,0.0008752879990127565
23.4,1.0,46.557452247549264,0.019073,0.000282,0.001185,0.933098,0.000451,0.001578,0.002787
23.4,1.5,48.399412796617945,0.030097,0.00025,0.001786,0.871252,0.00059,0.002114,0.006184
23.4,2.0,50.26783737219449,0.055152,0.00025,0.020959,0.751463,0.000823,0.002321,0.013314
23.4,2.5,52.10424515973571,0.079194,0.000262,0.018928,0.680006,0.000965,0.002758,0.035343
26.7,0.1,41.88131220879617,0.0012172539269388655,0.00032373774652629396,0.0013726480452714864,0.629954806210585,1.294950986105176e-05,7.769705916631056e-05,3.884852958315528e-05
26.7,0.5,43.37366161573697,0.007018714699977192,0.000204483123962838,0.0005707550932589105,0.9406819175124066,0.0002640304073146535,0.000511207809907095,0.0007246792030551126
26.7,1.0,45.20715318424632,0.015234,0.000201,0.000787,0.940519,0.000547,0.001006,0.002409
26.7,1.5,47.07342708090078,0.024762,0.000229,0.001266,0.883931,0.000671,0.001282,0.005387
26.7,2.0,48.92067277263342,0.044912,0.000223,0.013645,0.758362,0.000893,0.001452,0.01162
26.7,2.5,50.75912620393112,0.067088,0.000205,0.016188,0.69871,0.000987,0.001532,0.032345
30.0,0.1,40.936625491795496,0.0009964198403411,0.00017379415819902908,0.0011933865529666662,0.6334681203582477,0.0,9.269021770614884e-05,8.110394049288023e-05
30.0,0.5,42.42070354683856,0.005630690954811962,0.00017384290867486222,0.00047099299675863835,0.9418434827607467,0.00028603222764526747,0.00038508225700652617,0.0006832430596756213
30.0,1.0,44.27053850873437,0.012457,0.000168,0.000604,0.9427,0.000519,0.000651,0.002194
30.0,1.5,46.10533053957996,0.020605,0.000188,0.00092,0.88855,0.000646,0.00084,0.004747
30.0,2.0,47.92641581167886,0.035991,0.000159,0.006872,0.781799,0.000789,0.000907,0.010761
30.0,2.5,49.80279099213315,0.058706,0.000156,0.014139,0.710595,0.000869,0.000895,0.030122
